genre,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
blues,0.099,0.137,1.677,1.794,0.08,0.027,0.124,0.056,1758.8,339.803,2017.37,290.14,2519.293,268.793,2519.293,268.793,16.027,15.199,18.948,18.8,19.299,17.244,39.25,4.171,4.253,4.895,3.699,3.43,2.774,3.332,3811.602,910.648,-125.188,120.222,-18.359,44.887,-5.445,20.873,-13.773,16.823,-12.438,11.85,-8.862,9.302,-4.16,7.119,-5.663,0.53,-2.871,0.306,-2.7,2.37,51.759,15.466,15.935,13.799,12.144,9.175,8.653,8.063,9.411,8.116,7.458,6.77,6.411,6.409,7.466,8.365,5.956,6.596,7.661,6.932,0.373,0.393,0.438,0.27,0.265,0.323,0.331,0.396,0.3,0.319,0.391,0.363,0.34,0.3,0.315,0.231,0.271,0.293,0.288,0.33,0.254,0.29,0.326,0.286
blues,0.107,0.146,1.584,1.508,0.082,0.03,0.135,0.053,1782.456,422.088,2040.326,302.467,2546.471,250.768,2546.471,250.768,15.915,14.828,17.835,17.511,17.629,16.826,40.153,4.462,3.938,4.219,3.449,3.073,2.317,3.055,3874.952,1057.434,-104.65,122.308,-16.164,40.852,-10.41,18.029,-12.756,15.955,-12.655,12.15,-7.673,10.48,-4.334,5.224,-6.193,0.678,-0.946,-0.171,-2.291,1.509,50.179,20.558,13.147,11.873,11.196,9.954,7.911,7.856,8.94,7.102,8.33,6.98,6.433,6.235,6.047,6.096,6.238,6.636,6.29,5.564,0.338,0.341,0.472,0.261,0.262,0.362,0.378,0.482,0.342,0.331,0.453,0.406,0.312,0.265,0.33,0.203,0.264,0.283,0.263,0.353,0.267,0.281,0.335,0.276
blues,0.104,0.14,1.566,1.434,0.087,0.026,0.131,0.049,1746.254,300.666,1942.478,278.031,2445.866,266.489,2445.866,266.489,15.685,15.269,18.695,18.888,19.8,17.525,39.368,4.065,4.19,4.458,3.584,3.544,2.608,3.063,3643.758,841.773,-112.963,125.09,-25.855,44.197,-6.065,19.739,-17.308,15.891,-14.312,11.345,-10.862,8.888,-4.576,6.927,-5.516,2.762,-2.871,0.118,-3.231,0.996,48.454,14.898,15.922,10.981,14.085,8.991,7.669,8.649,8.612,8.271,7.576,7.274,6.35,6.351,7.442,7.04,5.89,6.06,8.229,7.727,0.376,0.363,0.418,0.221,0.21,0.33,0.377,0.423,0.255,0.295,0.386,0.403,0.339,0.296,0.302,0.209,0.225,0.298,0.27,0.344,0.217,0.274,0.325,0.315
blues,0.074,0.106,1.825,2.554,0.055,0.039,0.094,0.048,1315.032,538.963,1820.478,467.638,2413.471,457.291,2413.471,457.291,15.864,17.346,18.733,19.65,18.837,17.714,35.549,4.116,4.726,4.924,4.381,4.264,3.944,5.911,2863.591,1573.402,-221.931,131.148,0.49,39.102,7.866,17.842,-6.045,22.624,-5.247,10.499,-3.123,6.932,-1.882,4.951,-4.531,-0.464,0.498,0.039,-1.084,-0.112,96.938,24.476,32.771,15.091,15.796,13.384,15.418,10.41,13.059,10.334,8.582,9.366,8.046,8.596,7.686,7.925,7.825,6.963,7.379,7.345,0.566,0.379,0.357,0.19,0.186,0.3,0.396,0.549,0.348,0.292,0.323,0.436,0.381,0.287,0.293,0.176,0.19,0.294,0.278,0.353,0.25,0.239,0.264,0.277
blues,0.07,0.099,1.747,2.262,0.053,0.037,0.088,0.046,1532.99,665.289,2109.005,467.42,2685.48,382.07,2685.48,382.07,16.416,16.801,19.255,18.316,17.817,17.562,37.66,4.24,4.555,4.789,4.017,3.234,2.848,5.948,3677.831,1835.351,-222.168,124.333,11.158,38.723,-0.685,27.818,-12.987,25.157,-14.813,15.076,-8.105,9.273,-3.031,3.857,-7.839,4.567,0.115,-0.367,-2.647,1.118,84.115,24.115,18.144,18.551,15.789,12.107,14.107,12.285,12.165,10.228,12.078,10.316,8.504,7.255,7.412,7.415,7.57,6.951,6.377,6.769,0.342,0.305,0.323,0.244,0.255,0.378,0.479,0.647,0.435,0.241,0.232,0.265,0.339,0.298,0.324,0.257,0.241,0.323,0.277,0.365,0.315,0.234,0.244,0.261
blues,0.084,0.117,1.698,2.017,0.06,0.037,0.105,0.051,1605.202,591.345,2135.886,401.51,2702.126,310.674,2702.126,310.674,15.931,16.897,19.809,19.618,18.265,17.293,39.123,4.475,4.294,4.732,4.363,2.857,2.393,5.302,3807.78,1686.609,-182.549,122.288,9.66,34.946,-3.278,23.472,-10.869,26.206,-13.931,13.396,-8.509,2.641,-4.259,5.964,-7.505,0.342,-4.128,2.434,1.901,1.436,78.631,22.399,14.821,14.627,16.01,10.005,11.81,12.344,11.408,9.953,9.225,9.215,7.539,9.57,6.43,6.635,7.246,6.72,7.248,6.377,0.475,0.347,0.27,0.162,0.195,0.347,0.363,0.486,0.297,0.223,0.306,0.34,0.38,0.287,0.299,0.199,0.214,0.314,0.285,0.369,0.258,0.222,0.317,0.268
blues,0.132,0.172,1.224,0.529,0.07,0.041,0.166,0.045,1504.162,470.644,1734.258,254.53,2271.25,232.052,2271.25,232.052,26.911,13.972,17.722,18.887,19.365,18.074,38.343,5.323,3.858,5.171,4.339,3.455,2.951,3.424,2998.836,924.782,-99.112,141.554,-25.739,34.466,-17.079,25.846,-13.174,10.728,-11.375,7.317,-13.0,4.545,-8.695,-2.315,-8.145,2.918,-6.66,-2.039,-2.045,-2.697,55.199,24.559,18.36,11.967,13.622,9.419,11.47,11.389,8.686,8.165,7.616,7.223,7.432,7.487,6.48,6.157,7.329,6.975,6.763,5.344,0.326,0.201,0.288,0.406,0.54,0.39,0.314,0.317,0.367,0.449,0.4,0.555,0.237,0.191,0.236,0.276,0.344,0.274,0.25,0.263,0.269,0.338,0.271,0.345
blues,0.134,0.173,1.213,0.469,0.073,0.025,0.168,0.042,1490.728,404.376,1692.453,292.829,2217.375,263.039,2217.375,263.039,26.603,14.946,17.713,19.163,20.229,18.758,38.389,5.233,4.262,4.887,3.981,3.656,2.992,3.49,2953.071,965.848,-100.241,145.479,-31.026,36.446,-16.618,26.853,-13.695,10.985,-13.042,9.181,-15.324,4.021,-7.57,-2.052,-9.814,3.086,-9.156,-2.291,-3.5,-1.573,62.315,24.419,19.568,12.443,12.586,7.936,10.695,9.942,9.044,8.438,9.013,8.443,8.794,8.295,6.0,6.845,6.649,6.455,7.172,5.691,0.384,0.198,0.266,0.39,0.525,0.381,0.301,0.273,0.296,0.359,0.375,0.656,0.244,0.191,0.245,0.29,0.342,0.268,0.249,0.245,0.238,0.29,0.259,0.358
blues,0.153,0.203,1.333,0.795,0.085,0.024,0.193,0.063,1610.928,263.839,1806.257,266.245,2373.258,278.625,2373.258,278.625,25.163,13.689,17.71,20.14,21.657,18.179,40.228,5.441,3.626,4.511,4.236,3.961,2.876,2.72,3084.544,741.704,-74.838,137.334,-33.428,26.887,-10.979,27.237,-16.69,15.703,-13.276,14.958,-13.276,10.996,-12.386,3.038,-11.465,3.005,-8.884,0.315,-6.013,-1.261,51.521,17.652,22.16,9.02,9.525,8.248,8.046,8.433,6.079,5.924,5.677,6.229,5.911,5.509,5.308,6.145,6.688,7.978,5.986,5.545,0.271,0.182,0.322,0.386,0.578,0.312,0.305,0.28,0.305,0.375,0.323,0.587,0.192,0.158,0.297,0.245,0.358,0.219,0.244,0.246,0.223,0.333,0.212,0.343
blues,0.115,0.165,1.432,1.425,0.03,0.017,0.141,0.086,914.891,362.005,1413.423,350.213,2048.67,332.01,2048.67,332.01,29.455,14.693,17.431,19.101,18.469,17.119,32.156,5.095,4.119,4.29,3.364,3.307,2.56,4.38,1807.74,960.428,-214.466,156.587,2.785,26.751,4.973,9.371,-1.334,10.2,2.44,8.813,2.482,4.701,-2.365,-0.866,-3.422,-0.273,0.232,2.438,1.284,-2.2,76.583,22.419,17.289,11.7,14.807,10.121,11.755,7.842,8.283,6.852,7.53,5.648,5.455,6.283,6.422,5.812,5.584,5.531,5.175,5.575,0.294,0.355,0.473,0.557,0.754,0.525,0.326,0.224,0.228,0.321,0.305,0.352,0.227,0.222,0.322,0.284,0.323,0.286,0.231,0.171,0.19,0.312,0.284,0.331
