genre,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
blues,0.103,0.141,1.61,1.581,0.083,0.028,0.13,0.053,123.047,1762.528,357.352,1999.974,293.088,2503.683,265.209,2978.94,237.744,15.988,15.116,18.464,18.368,18.924,17.197,39.659,4.338,4.191,4.616,3.633,3.492,2.535,3.048,3776.744,947.163,-113.597,121.557,-19.159,42.351,-6.376,18.619,-13.698,15.345,-12.285,10.98,-8.324,8.811,-3.667,5.752,-5.163,0.751,-1.692,-0.41,-2.3,1.22,50.649,17.201,15.351,12.285,12.957,9.446,8.225,8.306,9.062,7.964,7.862,7.157,6.422,6.369,7.058,7.243,6.046,6.453,7.423,6.854,0.358,0.36,0.437,0.245,0.244,0.334,0.365,0.435,0.294,0.311,0.404,0.383,0.324,0.281,0.315,0.215,0.252,0.289,0.283,0.345,0.251,0.278,0.33,0.293
blues,0.076,0.108,1.772,2.339,0.056,0.038,0.096,0.049,107.666,1484.281,612.929,2021.8,468.309,2600.275,409.464,3115.261,361.4,15.984,17.056,19.143,19.196,18.331,17.509,37.515,4.195,4.607,4.819,4.288,3.513,3.135,5.821,3448.596,1751.718,-207.557,124.007,8.931,35.875,2.916,21.524,-8.555,23.359,-10.104,11.904,-5.56,5.377,-2.239,4.217,-6.012,0.936,-0.717,0.294,-0.287,0.532,88.128,23.674,23.929,16.27,16.736,12.508,14.177,11.937,12.895,10.22,10.262,9.812,8.055,8.555,7.243,7.441,7.753,6.94,7.15,6.769,0.462,0.348,0.321,0.21,0.205,0.336,0.403,0.562,0.382,0.256,0.287,0.336,0.378,0.293,0.308,0.228,0.214,0.316,0.286,0.367,0.292,0.232,0.279,0.267
blues,0.14,0.183,1.322,0.735,0.076,0.032,0.176,0.052,161.499,1535.784,393.466,1744.707,275.989,2287.57,266.563,2796.186,261.635,26.34,14.194,17.714,19.424,20.347,18.324,39.038,5.481,3.967,5.015,4.196,3.789,2.952,3.243,3013.232,884.053,-90.754,140.46,-29.11,31.689,-13.987,25.755,-13.65,11.629,-11.781,9.706,-13.123,5.789,-8.905,-1.084,-9.218,2.456,-7.727,-1.816,-3.433,-2.227,57.626,22.56,20.292,12.007,12.476,8.632,10.335,10.324,8.098,8.236,7.596,8.033,7.774,7.598,6.04,6.373,6.905,7.241,6.828,5.53,0.29,0.193,0.304,0.399,0.545,0.332,0.304,0.286,0.323,0.399,0.376,0.591,0.217,0.181,0.266,0.269,0.35,0.242,0.244,0.249,0.241,0.331,0.252,0.353
blues,0.115,0.162,1.427,1.329,0.033,0.021,0.141,0.08,172.266,1038.672,424.439,1582.307,409.18,2224.906,380.608,2814.094,345.701,29.793,14.761,17.248,18.638,18.499,16.795,34.267,5.074,4.064,4.222,3.321,3.339,2.313,4.656,2124.587,1213.642,-199.431,150.099,5.648,26.872,1.754,14.238,-4.831,9.298,-0.758,8.149,-3.196,6.088,-2.476,-1.074,-2.875,0.781,-3.317,0.638,-0.62,-3.408,74.13,21.372,16.033,12.577,16.367,11.264,12.491,9.009,9.601,8.438,10.502,6.942,7.538,7.893,7.188,6.668,7.088,6.111,6.107,5.655,0.339,0.409,0.526,0.549,0.657,0.513,0.356,0.253,0.245,0.312,0.313,0.38,0.249,0.237,0.326,0.305,0.347,0.306,0.237,0.202,0.215,0.292,0.279,0.336
blues,0.071,0.103,2.246,3.994,0.102,0.044,0.092,0.048,135.999,1792.762,591.031,1746.086,301.123,2206.733,219.124,2645.952,172.905,17.06,15.705,19.126,20.528,20.793,19.721,37.34,4.333,3.991,4.101,4.324,4.075,3.707,5.115,3525.779,1269.772,-160.266,126.199,-35.605,22.153,-32.489,10.865,-23.358,0.503,-11.806,1.207,-13.084,-2.806,-6.934,-7.559,-9.174,-4.512,-5.454,-0.924,-4.409,-11.704,72.061,29.221,18.266,13.912,18.341,11.608,9.659,11.169,11.401,9.988,8.962,9.298,9.467,8.423,8.703,9.275,8.679,7.32,7.933,7.432,0.193,0.322,0.386,0.246,0.196,0.527,0.237,0.142,0.276,0.329,0.555,0.258,0.197,0.327,0.307,0.266,0.177,0.357,0.198,0.181,0.301,0.232,0.36,0.209
blues,0.082,0.121,2.769,6.215,0.094,0.079,0.103,0.063,112.347,1788.893,1013.901,1724.588,453.618,2198.935,335.927,2642.666,247.436,17.463,19.562,21.299,21.353,20.791,19.408,37.956,4.799,5.361,5.522,4.86,4.098,3.44,6.766,3422.196,1817.748,-177.869,118.197,-17.551,30.759,-21.743,11.904,-20.734,3.181,-8.583,-0.936,-11.776,-2.421,-9.339,-9.939,-3.91,-5.571,-1.839,-2.778,-3.047,-8.116,85.449,56.547,25.585,22.048,20.826,16.316,13.033,11.567,13.128,10.009,8.751,8.859,8.963,6.898,7.751,8.518,8.292,6.515,6.312,6.805,0.235,0.298,0.616,0.237,0.125,0.244,0.279,0.412,0.241,0.283,0.283,0.365,0.285,0.214,0.383,0.169,0.142,0.278,0.258,0.338,0.23,0.279,0.283,0.309
blues,0.113,0.17,2.03,3.398,0.073,0.044,0.142,0.094,123.047,1417.525,669.085,1380.449,430.592,1790.024,417.32,2230.934,388.679,24.764,21.089,22.226,21.266,21.655,20.161,32.88,6.735,5.788,5.834,4.875,4.357,3.602,7.831,2739.75,1294.403,-190.149,130.297,-36.344,33.013,11.107,-0.615,-20.862,0.27,-6.49,-5.517,-7.84,-3.126,-6.593,-9.942,-6.537,-10.065,-10.912,-6.972,-3.449,-6.496,98.245,43.98,36.162,21.917,32.932,16.759,12.339,10.148,11.447,12.393,9.355,8.015,8.898,7.947,9.297,9.127,7.547,6.186,6.934,8.369,0.427,0.224,0.131,0.151,0.237,0.49,0.248,0.169,0.286,0.459,0.359,0.308,0.365,0.243,0.187,0.214,0.21,0.386,0.247,0.194,0.296,0.354,0.331,0.271
blues,0.105,0.151,2.07,3.253,0.061,0.043,0.132,0.074,92.285,1420.545,668.015,1570.677,411.239,2045.857,389.758,2511.204,352.177,20.208,20.096,20.718,19.635,20.717,19.615,36.129,4.547,4.593,5.003,4.573,4.056,3.29,5.695,2905.024,1270.673,-179.396,136.459,-26.656,39.988,5.29,10.924,-20.562,8.514,-11.357,-3.469,-8.415,-6.955,-3.545,-8.051,-8.96,-8.424,-10.559,-10.788,-4.694,-8.639,81.092,38.476,24.328,18.783,25.505,11.678,12.8,12.305,13.118,13.355,12.149,9.152,9.662,7.577,9.071,8.399,7.21,7.777,8.099,7.507,0.262,0.262,0.328,0.221,0.214,0.296,0.195,0.181,0.265,0.39,0.65,0.446,0.251,0.297,0.31,0.264,0.255,0.289,0.22,0.24,0.283,0.274,0.35,0.278
blues,0.115,0.148,1.357,0.691,0.064,0.027,0.142,0.039,83.354,1693.695,404.334,2026.325,324.55,2532.904,283.08,3004.682,257.358,29.496,15.133,17.034,17.039,19.697,17.636,40.613,5.138,4.046,4.531,3.437,3.789,2.531,2.636,3744.261,1120.847,-121.361,122.513,-14.742,46.143,-8.165,20.177,-19.172,23.056,-11.83,21.177,-6.721,7.011,-12.742,5.066,-5.175,-1.444,-7.037,2.697,3.41,-2.698,51.227,20.369,18.478,13.914,13.301,10.347,7.596,8.764,6.523,7.639,6.997,7.488,7.866,7.11,5.736,7.108,5.375,6.078,5.809,6.006,0.308,0.306,0.367,0.425,0.525,0.444,0.489,0.343,0.382,0.453,0.368,0.463,0.226,0.234,0.291,0.275,0.354,0.29,0.325,0.251,0.265,0.309,0.258,0.314
blues,0.065,0.105,2.305,4.992,0.079,0.037,0.081,0.066,129.199,1749.65,544.62,1959.483,330.838,2429.369,319.893,2871.491,337.524,14.334,17.641,21.934,20.242,18.572,18.916,36.513,4.06,4.579,4.857,4.017,3.629,4.17,5.269,3825.735,1163.268,-213.181,115.153,-11.716,39.029,-20.353,13.082,-9.173,9.016,-14.098,4.278,-6.04,3.785,0.226,-5.114,-0.413,-1.185,-1.921,-2.294,2.891,-4.233,78.32,28.261,25.861,18.726,23.07,16.704,11.262,8.248,10.495,9.619,9.216,10.224,8.74,9.243,10.202,7.703,7.645,9.125,8.777,9.567,0.248,0.274,0.486,0.268,0.181,0.269,0.223,0.416,0.274,0.181,0.228,0.24,0.295,0.292,0.39,0.246,0.217,0.331,0.216,0.383,0.27,0.219,0.302,0.275
